"ID","Priority","Area","Milestone","Title","Description","Acceptance","Regression","Labels","Status","Branch","PR","TestName"
"CONTROL-01","P0","Process","P0 Control System","Create GitHub labels, milestones, and issue backlog","Known fix list is converted into tracked GitHub issues with labels and milestones.","Every known fix has a GitHub issue with acceptance criteria.","Run issue import twice and confirm it does not duplicate issues.","P0;process;github","Backlog","","",""
"CONTROL-02","P0","Testing","P0 Control System","Add regression test harness","Add typecheck, unit or integration test, and smoke-test commands so fixes cannot silently regress.","package.json has test scripts and public route, auth, and listing smoke coverage.","CI fails when a protected public route breaks.","P0;testing;ci","Backlog","","",""
"CONTROL-03","P0","CI","P0 Control System","Expand GitHub Actions quality gate","CI should run install, Prisma generate, typecheck, tests, smoke tests, build, and lint.","Pull requests cannot pass with build-only confidence.","Break a smoke route locally and confirm CI or tests catch it.","P0;ci;testing","Backlog","","",""
"CONTROL-04","P0","PR Quality","P0 Control System","Add PR proof template","Every PR must show issue ID, commands run, test added, screenshots where relevant, and rollback notes.","PRs without proof are not accepted.","Create a sample PR body and verify required sections exist.","P0;process;github","Backlog","","",""
"PRODUCT-01","P0","Product Promise","P0 Trust and Launch Blocking","Lock V1 and V2 marketplace promise","Make homepage, how-it-works, listing pages, dashboard, legal, and support copy agree on what Bidra currently does.","No page promises escrow, in-app payment, shipping, or scheduling unless the feature fully works.","Route smoke test checks approved product-promise phrases.","P0;trust;copy","Backlog","","",""
"TRUST-01","P0","Public Trust","P0 Trust and Launch Blocking","Make legal and trust pages public and consistent","Privacy, terms, prohibited items, fees, support, safety, and feedback pages must not require login.","Logged-out users can access all public trust pages.","Smoke test visits each public trust route while logged out.","P0;trust;routing","Backlog","","",""
"TRUST-02","P0","Public UX","P0 Trust and Launch Blocking","Replace blank and loading public states","Public pages must never show blank chrome or permanent Loading text.","Signed-out and empty states have clear explanation and CTA.","Smoke test rejects visible permanent Loading text on public routes.","P0;trust;ux","Backlog","","",""
"ROUTE-01","P0","Routing","P0 Trust and Launch Blocking","Fix unknown route behavior","Unknown routes should render branded 404 instead of redirecting to login.","Random invalid public route shows 404 and no auth fallback.","Smoke test visits invalid route and expects 404 content.","P0;routing;auth","Backlog","","",""
"AUTH-01","P0","Auth","P0 Auth and Security","Fix forgot-password route","Login forgot-password link must route to a working public forgot-password page.","User can reach forgot-password from login while logged out.","Smoke test clicks forgot-password and confirms route.","P0;auth;routing","Backlog","","",""
"AUTH-02","P0","Auth","P0 Auth and Security","Replace raw auth errors","Provider codes and ugly auth strings must be replaced with clear user-safe copy.","Bad login shows friendly message, not raw provider error.","Auth test submits bad credentials and checks error copy.","P0;auth;ux","Backlog","","",""
"AUTH-03","P0","Security","P0 Auth and Security","Add login rate limiting","Add per-IP and per-account throttling with friendly 429 response.","Repeated failed login attempts are throttled.","Security test simulates repeated attempts and expects throttle.","P0;security;auth","Backlog","","",""
"AUTH-04","P1","Account UX","P1 Core Marketplace Flows","Clarify buyer seller admin role","Menu and dashboard must show the current account role clearly.","Buyer, seller, and admin sessions are visibly distinct.","Role display test checks dashboard and header output.","P1;auth;ux","Backlog","","",""
"SEARCH-01","P0","Search","P0 Trust and Launch Blocking","Make search submit on Enter","Search must be a real form with submit handling and accessible button.","Enter key and button both navigate to results.","Smoke test types search and presses Enter.","P0;search;ux","Backlog","","",""
"LISTING-01","P0","Listings","P0 Trust and Launch Blocking","Replace raw unauthenticated listing CTA","Logged-out offer and message areas should show premium sign-in prompt with return path.","No NOT_AUTHENTICATED text appears in UI.","Smoke test checks listing detail while logged out.","P0;listings;auth","Backlog","","",""
"LISTING-02","P1","Seller Listings","P1 Core Marketplace Flows","Fix seller edit delete confirmation flow","Seller edit links must work and delete must use branded modal with success state.","Seller can edit or delete listing without native confirm dialog.","Seller smoke test validates edit link and delete modal.","P1;listings;seller","Backlog","","",""
