"ID","Priority","Area","Milestone","Title","Description","Acceptance","Regression","Labels","Status","Branch","PR","TestName"
"TRUST-03","P1","Trust","Phase 2 Million Dollar Readiness","Publish clear buyer and seller fee model","Make the current Bidra fee model obvious before users transact.","Fees page states exact current fees or explicitly states launch fees. Listing, order, support, legal, and footer copy point to one fee source.","Static check verifies concrete fee copy and no vague fee language without current fee.","P1;trust;fees","Backlog","","","trust-03-fee-model-check.cjs"
"AUTH-05","P1","Auth","Phase 2 Million Dollar Readiness","Upgrade signup and login confidence","Improve auth forms with visible password guidance, password visibility controls, and safer error guidance.","Password requirements are visible before submit. Password visibility controls exist on login, signup, and reset forms. Key auth outcomes have user-safe guidance.","Auth static check verifies password helper, visibility controls, and safe error mapping.","P1;auth;ux","Backlog","","","auth-05-signup-login-confidence-check.cjs"
"SUPPORT-01","P1","Support","Phase 2 Million Dollar Readiness","Make support and contact usable before login","Ensure logged-out users can get help and submit support/contact requests safely.","Logged-out users can submit contact/support or see a clear support email. Support form has success and failure states. Abuse protection exists.","Public support smoke check verifies logged-out support/contact availability and anti-abuse marker.","P1;support;trust","Backlog","","","support-01-logged-out-support-check.cjs"
"UX-02","P1","UX","Phase 2 Million Dollar Readiness","Standardize success and failure feedback across core flows","Create a shared feedback pattern for critical marketplace success and failure states.","Create/edit/delete listing, message send/report, offer submit, watch toggle, feedback submit, account save, and admin actions use a shared feedback pattern or documented wrapper.","Static check maps critical flows to the shared feedback component or wrapper.","P1;ux;design-system","Backlog","","","ux-02-feedback-system-check.cjs"
"UX-03","P1","UX","Phase 2 Million Dollar Readiness","Remove remaining native dialogs from production flows","Replace remaining browser-native confirm, alert, and prompt flows with branded UI.","No window.confirm, alert, or prompt remains in app, components, or lib production files.","Static check rejects native dialog calls in production files.","P1;ux;modals","Backlog","","","ux-03-native-dialog-check.cjs"
"PERF-02","P1","Performance","Phase 2 Million Dollar Readiness","Mobile premium audit for public marketplace","Harden mobile layout, tap targets, and image stability on critical marketplace pages.","Homepage, listings, listing detail, auth, sell, messages, orders, and watchlist have mobile-safe layout markers and key CTAs meet 44px tap target guidance.","Static/layout smoke checks critical route coverage and mobile/tap-target markers.","P1;performance;mobile","Backlog","","","perf-02-mobile-premium-check.cjs"
"GROWTH-02","P1","Growth","Phase 2 Million Dollar Readiness","Upgrade homepage conversion path","Make the live homepage explain Bidra quickly and drive users to browse or sell.","Above-the-fold hero states the marketplace promise. Primary CTA leads to browse/listings. Secondary CTA leads to sell/create listing. AU trust, fee, safety, and support cues appear before footer.","Homepage static check verifies CTA, trust, fee, safety, support, and AU marketplace phrases.","P1;growth;conversion","Backlog","","","growth-02-homepage-conversion-check.cjs"
"GROWTH-03","P1","Marketplace Supply","Phase 2 Million Dollar Readiness","Improve marketplace density and listing quality","Make the marketplace feel populated, real, and searchable across categories and locations.","Homepage and browse show enough real listings by category/location. Placeholder/duplicate listings are removed. Empty categories route to useful alternatives or sell CTA.","Listing audit checks minimum active count, duplicate titles, missing images, and placeholder phrases.","P1;growth;listings","Backlog","","","growth-03-marketplace-density-check.cjs"
"SEO-02","P1","SEO","Phase 2 Million Dollar Readiness","Validate live marketplace SEO and long-tail acquisition","Harden canonical URLs, sitemap, structured data, and long-tail category/location pages for acquisition.","Production canonical URLs match the live domain. Sitemap includes public listing/category/location pages. Product/listing structured data validates. Category/location pages have unique copy.","SEO static check verifies metadata generation, production base URL, sitemap coverage, and structured data markers.","P1;seo;growth","Backlog","","","seo-02-live-seo-check.cjs"
"ANALYTICS-01","P1","Analytics","Phase 2 Million Dollar Readiness","Add marketplace funnel analytics","Track core marketplace funnel events without storing sensitive content.","Track visit, signup, listing view, search, watch, offer, message, buy/order, feedback, report, and support events. Events avoid sensitive message content.","Static check verifies event names and required call sites.","P1;analytics;growth","Backlog","","","analytics-01-funnel-check.cjs"
